Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\RPS 4.csproj,,,Newtonsoft.Json 6.0.5,,,,,"Newtonsoft.Json, 6.0.5  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\RPS 4.csproj,,,System.Data.SQLite 1.0.94.1,,,,,"System.Data.SQLite, 1.0.94.1  Recommendation:  System.Data.SQLite, 2.0.3"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\RPS 4.csproj,,,System.Data.SQLite.Core 1.0.94.0,,,,,"System.Data.SQLite.Core, 1.0.94.0  Recommendation:  System.Data.SQLite.Core, 1.0.119"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,RPS 4\RPS 4.csproj,File,RPS 4\RPS 4.csproj,,,Newtonsoft.Json 6.0.5,,,,,"Newtonsoft.Json, 6.0.5  Recommendation:  Newtonsoft.Json, 13.0.4"
Project.0001,Project file needs to be converted to SDK-style,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\RPS 4.csproj,,,,,,,,
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\RPS 4.csproj,,,,,,,,"Current target framework: .NETFramework,Version=v4.7.2 Recommended target framework: net10.0-windows"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\MessageBoxManager.cs,136,12,M:System.AppDomain.GetCurrentThreadId,,,,,"hHook = SetWindowsHookEx(WH_CALLWNDPROCRET, hookProc, IntPtr.Zero, AppDomain.GetCurrentThreadId());"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\ExifToolWrapper.cs,145,16,P:System.Management.ManagementBaseObject.Item(System.String),,,,,"KillProcessAndChildren(Convert.ToInt32(mo[""ProcessID""]));"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\ExifToolWrapper.cs,143,12,T:System.Management.ManagementObjectCollection,,,,,ManagementObjectCollection moc = searcher.Get();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\ExifToolWrapper.cs,143,12,M:System.Management.ManagementObjectSearcher.Get,,,,,ManagementObjectCollection moc = searcher.Get();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\ExifToolWrapper.cs,141,12,T:System.Management.ManagementObjectSearcher,,,,,"ManagementObjectSearcher searcher = new ManagementObjectSearcher                (""Select * From Win32_Process Where ParentProcessID="" + pid);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\ExifToolWrapper.cs,141,12,M:System.Management.ManagementObjectSearcher.#ctor(System.String),,,,,"ManagementObjectSearcher searcher = new ManagementObjectSearcher                (""Select * From Win32_Process Where ParentProcessID="" + pid);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Properties\Settings.Designer.cs,15,74,M:System.Configuration.ApplicationSettingsBase.#ctor,,,,,ApplicationSettingsBase
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Properties\Settings.Designer.cs,15,74,T:System.Configuration.ApplicationSettingsBase,,,,,ApplicationSettingsBase
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,196,12,T:System.Windows.Forms.Application,,,,,"Utils.RunTaskScheduler(@""SetWallpaper"", Application.ExecutablePath, ""/x \"""" + wallpaperPath + ""\"""");"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,196,12,P:System.Windows.Forms.Application.ExecutablePath,,,,,"Utils.RunTaskScheduler(@""SetWallpaper"", Application.ExecutablePath, ""/x \"""" + wallpaperPath + ""\"""");"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,192,12,T:System.Drawing.Imaging.ImageFormat,,,,,"wallpaper.Save(wallpaperPath, System.Drawing.Imaging.ImageFormat.Bmp);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,192,12,T:System.Drawing.Imaging.ImageFormat,,,,,"wallpaper.Save(wallpaperPath, System.Drawing.Imaging.ImageFormat.Bmp);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,192,12,P:System.Drawing.Imaging.ImageFormat.Bmp,,,,,"wallpaper.Save(wallpaperPath, System.Drawing.Imaging.ImageFormat.Bmp);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,192,12,"M:System.Drawing.Image.Save(System.String,System.Drawing.Imaging.ImageFormat)",,,,,"wallpaper.Save(wallpaperPath, System.Drawing.Imaging.ImageFormat.Bmp);"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,188,16,T:System.Windows.Forms.Cursor,,,,,Cursor.Hide();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,188,16,M:System.Windows.Forms.Cursor.Hide,,,,,Cursor.Hide();
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,185,16,T:System.Windows.Forms.MessageBoxIcon,,,,,"if (DialogResult.OK != MessageBox.Show(""Create folder '""+Path.GetDirectoryName(wallpaperPath)+""'>\n\nOk: Creates folder for backgrounds\nCancel doesn't change background image."", ""Installation folder for background not found!"", MessageBoxButtons.OKCancel, MessageBoxIcon.Exclamation)) {                      return;                  }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,185,16,T:System.Windows.Forms.MessageBoxIcon,,,,,"if (DialogResult.OK != MessageBox.Show(""Create folder '""+Path.GetDirectoryName(wallpaperPath)+""'>\n\nOk: Creates folder for backgrounds\nCancel doesn't change background image."", ""Installation folder for background not found!"", MessageBoxButtons.OKCancel, MessageBoxIcon.Exclamation)) {                      return;                  }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,185,16,F:System.Windows.Forms.MessageBoxIcon.Exclamation,,,,,"if (DialogResult.OK != MessageBox.Show(""Create folder '""+Path.GetDirectoryName(wallpaperPath)+""'>\n\nOk: Creates folder for backgrounds\nCancel doesn't change background image."", ""Installation folder for background not found!"", MessageBoxButtons.OKCancel, MessageBoxIcon.Exclamation)) {                      return;                  }"
Api.0001,Binary incompatible for selected .NET version,Active,Mandatory,1,RPS 4\RPS 4.csproj,File,RPS 4\Wallpaper.cs,185,16,T:System.Windows.Forms.MessageBoxButtons,,,,,"if (DialogResult.OK != MessageBox.Show(""Create folder '""+Path.GetDirectoryName(wallpaperPath)+""'>\n\nOk: Creates folder for backgrounds\nCancel doesn't change background image."", ""Installation folder for background not found!"", MessageBoxButtons.OKCancel, MessageBoxIcon.Exclamation)) {                      return;                  }"
